folio,fecha,hora,hora_num,franja,municipio,coordinacion,incidente,familia,peso_violencia,latitud,longitud,geo_confianza
ECA26072601707,2026-07-26,04:52:00,4,nocturna (22-06),ECATEPEC,ECATEPEC,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.626975,-99.066365,COORDENADA
ECA26072601710,2026-07-26,04:53:00,4,nocturna (22-06),NEZAHUALCOYOTL,ORIENTE,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.47596,-99.05941,COORDENADA
ECA26072601715,2026-07-26,04:54:00,4,nocturna (22-06),NEZAHUALCOYOTL,ORIENTE,RIÑA,rina,1.5,19.41314,-99.052465,COORDENADA
ECA26072601721,2026-07-26,04:55:00,4,nocturna (22-06),ACOLMAN,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.594795,-98.98841,COORDENADA
ECA26072601753,2026-07-26,05:01:00,5,nocturna (22-06),TEOLOYUCAN,SIN CATALOGAR,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.74849,-99.19467,COORDENADA
ECA26072601754,2026-07-26,05:02:00,5,nocturna (22-06),TLALNEPANTLA,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.55859,-99.19026,COORDENADA
ECA26072601757,2026-07-26,05:02:00,5,nocturna (22-06),CHICOLOAPAN,SIN CATALOGAR,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.391295,-98.908425,COORDENADA
ECA26072601780,2026-07-26,05:09:00,5,nocturna (22-06),NEZAHUALCOYOTL,ORIENTE,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.41423,-99.03734,COORDENADA
ECA26072601793,2026-07-26,05:13:00,5,nocturna (22-06),TEXCOCO,ORIENTE,VIOLENCIA FAMILIAR,violencia_genero,2.0,,,ALTA
ECA26072601802,2026-07-26,05:15:00,5,nocturna (22-06),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.566025,-99.021885,COORDENADA
ECA26072601808,2026-07-26,05:16:00,5,nocturna (22-06),ZUMPANGO,ECATEPEC,PERSONA AGRESIVA,rina,1.5,,,ALTA
ECA26072601829,2026-07-26,05:22:00,5,nocturna (22-06),CHALCO,CHALCO,PERSONA LESIONADA POR ARMA BLANCA,arma_blanca,3.0,19.24596,-98.84427,COORDENADA
ECA26072601838,2026-07-26,05:25:00,5,nocturna (22-06),TULTITLAN,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.62757,-99.17168,COORDENADA
ECA26072601843,2026-07-26,05:26:00,5,nocturna (22-06),TLALNEPANTLA,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.51582,-99.1959,COORDENADA
ECA26072601850,2026-07-26,05:28:00,5,nocturna (22-06),TLALNEPANTLA,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.52462,-99.106005,COORDENADA
ECA26072601855,2026-07-26,05:30:00,5,nocturna (22-06),CUAUTITLAN,METROPOLITANA,PORTACION DE ARMA BLANCA,arma_blanca,2.0,,,MEDIA
ECA26072601857,2026-07-26,05:32:00,5,nocturna (22-06),VALLE DE CHALCO,CHALCO,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.299025,-98.94834,COORDENADA
ECA26072601858,2026-07-26,05:32:00,5,nocturna (22-06),NEZAHUALCOYOTL,ORIENTE,RIÑA,rina,1.5,19.45544,-99.04885,COORDENADA
ECA26072601860,2026-07-26,05:32:00,5,nocturna (22-06),IXTAPALUCA,CHALCO,RIÑA,rina,1.5,19.338325,-98.8852,COORDENADA
ECA26072601874,2026-07-26,05:34:00,5,nocturna (22-06),CHICOLOAPAN,SIN CATALOGAR,PERSONA AGRESIVA,rina,1.5,19.424625,-98.88856,COORDENADA
ECA26072601881,2026-07-26,05:35:00,5,nocturna (22-06),CUAUTITLAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.67107,-99.150335,COORDENADA
ECA26072601887,2026-07-26,05:37:00,5,nocturna (22-06),CHICOLOAPAN,SIN CATALOGAR,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,,,ALTA
ECA26072601929,2026-07-26,05:46:00,5,nocturna (22-06),CHICOLOAPAN,SIN CATALOGAR,RIÑA,rina,1.5,,,ALTA
ECA26072601938,2026-07-26,05:48:00,5,nocturna (22-06),CHICOLOAPAN,SIN CATALOGAR,RIÑA,rina,1.5,19.4163,-98.91567,COORDENADA
ECA26072601945,2026-07-26,05:50:00,5,nocturna (22-06),CHICOLOAPAN,SIN CATALOGAR,RIÑA,rina,1.5,19.40962,-98.912385,COORDENADA
ECA26072601952,2026-07-26,05:52:00,5,nocturna (22-06),NEZAHUALCOYOTL,ORIENTE,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.40673,-99.05069,COORDENADA
ECA26072601991,2026-07-26,06:02:00,6,matutina (06-14),ECATEPEC,ECATEPEC,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.61048,-99.05533,COORDENADA
ECA26072601994,2026-07-26,06:03:00,6,matutina (06-14),CHICOLOAPAN,SIN CATALOGAR,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.40962,-98.912385,COORDENADA
ECA26072602008,2026-07-26,06:07:00,6,matutina (06-14),ATIZAPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.55823,-99.274545,COORDENADA
ECA26072602017,2026-07-26,06:09:00,6,matutina (06-14),CHICOLOAPAN,SIN CATALOGAR,RIÑA,rina,1.5,19.40962,-98.912385,COORDENADA
ECA26072602018,2026-07-26,06:09:00,6,matutina (06-14),TLALNEPANTLA,METROPOLITANA,RIÑA,rina,1.5,19.54277,-99.156265,COORDENADA
ECA26072602026,2026-07-26,06:12:00,6,matutina (06-14),TLALNEPANTLA,METROPOLITANA,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.52665,-99.190535,COORDENADA
ECA26072602064,2026-07-26,06:23:00,6,matutina (06-14),ZUMPANGO,ECATEPEC,ROBO A ESCUELA CON VIOLENCIA,robo_violento,2.0,19.796305,-99.072132,COORDENADA
ECA26072602066,2026-07-26,06:25:00,6,matutina (06-14),ECATEPEC,ECATEPEC,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.49642,-99.05362,COORDENADA
ECA26072602073,2026-07-26,06:29:00,6,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.46454,-99.04122,COORDENADA
ECA26072602111,2026-07-26,06:43:00,6,matutina (06-14),ECATEPEC,ECATEPEC,SUICIDIO,deceso_dudoso,3.0,19.627425,-99.06028,COORDENADA
ECA26072602115,2026-07-26,06:45:00,6,matutina (06-14),TLALNEPANTLA,METROPOLITANA,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.52462,-99.106005,COORDENADA
ECA26072602120,2026-07-26,06:47:00,6,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PORTACION DE ARMA BLANCA,arma_blanca,2.0,19.37911,-98.97071,COORDENADA
ECA26072602129,2026-07-26,06:51:00,6,matutina (06-14),COACALCO DE BERRIOZABAL,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.63621,-99.12452,COORDENADA
ECA26072602144,2026-07-26,06:56:00,6,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.46383,-99.04204,COORDENADA
ECA26072602146,2026-07-26,06:57:00,6,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.37911,-98.97071,COORDENADA
ECA26072602151,2026-07-26,06:58:00,6,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.43751,-98.94006,COORDENADA
ECA26072602171,2026-07-26,07:01:00,7,matutina (06-14),IXTAPALUCA,CHALCO,PERSONA AGRESIVA,rina,1.5,19.29367,-98.83773,COORDENADA
ECA26072602183,2026-07-26,07:04:00,7,matutina (06-14),ACOLMAN,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.594795,-98.98841,COORDENADA
ECA26072602199,2026-07-26,07:07:00,7,matutina (06-14),ECATEPEC,ECATEPEC,RIÑA,rina,1.5,19.50319,-99.01575,COORDENADA
ECA26072602208,2026-07-26,07:09:00,7,matutina (06-14),ATIZAPAN,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.55823,-99.274545,COORDENADA
ECA26072602226,2026-07-26,07:13:00,7,matutina (06-14),NEXTLALPAN,SIN CATALOGAR,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.737832,-99.078562,COORDENADA
ECA26072602270,2026-07-26,07:23:00,7,matutina (06-14),TLALNEPANTLA,METROPOLITANA,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.53768,-99.08858,COORDENADA
ECA26072602279,2026-07-26,07:25:00,7,matutina (06-14),CHALCO,CHALCO,RIÑA,rina,1.5,19.262595,-98.89674,COORDENADA
ECA26072602335,2026-07-26,07:51:00,7,matutina (06-14),ECATEPEC,ECATEPEC,SUICIDIO,deceso_dudoso,3.0,19.531965,-99.04224,COORDENADA
ECA26072602337,2026-07-26,07:52:00,7,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.41372,-99.03552,COORDENADA
ECA26072602351,2026-07-26,08:02:00,8,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.67672,-99.25729,COORDENADA
ECA26072602363,2026-07-26,08:05:00,8,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.6667,-99.22567,COORDENADA
ECA26072602379,2026-07-26,08:09:00,8,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.60364,-99.29025,COORDENADA
ECA26072602380,2026-07-26,08:10:00,8,matutina (06-14),VALLE DE CHALCO,CHALCO,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.27785,-98.91825,COORDENADA
ECA26072602387,2026-07-26,08:13:00,8,matutina (06-14),CHIMALHUACAN,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,,,ALTA
ECA26072602392,2026-07-26,08:14:00,8,matutina (06-14),TULTITLAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.60981,-99.18308,COORDENADA
ECA26072602410,2026-07-26,08:19:00,8,matutina (06-14),TEOTIHUACAN,ORIENTE,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.711725,-98.91415,COORDENADA
ECA26072602477,2026-07-26,08:30:00,8,matutina (06-14),CHALCO,CHALCO,RIÑA,rina,1.5,19.262595,-98.89674,COORDENADA
ECA26072602481,2026-07-26,08:31:00,8,matutina (06-14),ZUMPANGO,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.87491,-99.09194,COORDENADA
ECA26072602492,2026-07-26,08:32:00,8,matutina (06-14),TEZOYUCA,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.603863,-98.906518,COORDENADA
ECA26072602502,2026-07-26,08:34:00,8,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.61855,-99.05203,COORDENADA
ECA26072602503,2026-07-26,08:34:00,8,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA LESIONADA POR ARMA BLANCA,arma_blanca,3.0,19.61397,-98.99154,COORDENADA
ECA26072602506,2026-07-26,08:34:00,8,matutina (06-14),ZUMPANGO,ECATEPEC,ROBO DE MOTOCICLETA CON VIOLENCIA,robo_violento,2.0,19.844,-99.107355,COORDENADA
ECA26072602515,2026-07-26,08:35:00,8,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA LESIONADA DURANTE ALTERACION DEL ORDEN PUBLICO O POR RIÑA,rina,1.5,19.61392,-98.9912,COORDENADA
ECA26072602517,2026-07-26,08:35:00,8,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.59782,-99.00203,COORDENADA
ECA26072602541,2026-07-26,08:39:00,8,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.55587,-99.07194,COORDENADA
ECA26072602542,2026-07-26,08:39:00,8,matutina (06-14),ECATEPEC,ECATEPEC,ROBO DE VEHICULO PARTICULAR CON VIOLENCIA,robo_violento,2.0,19.49965,-99.059145,COORDENADA
ECA26072602547,2026-07-26,08:39:00,8,matutina (06-14),CHIMALHUACAN,ORIENTE,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.437185,-98.92834,COORDENADA
ECA26072602556,2026-07-26,08:40:00,8,matutina (06-14),TECAMAC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,,,ALTA
ECA26072602571,2026-07-26,08:43:00,8,matutina (06-14),CHIMALHUACAN,ORIENTE,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.437185,-98.92834,COORDENADA
ECA26072602588,2026-07-26,08:46:00,8,matutina (06-14),LA PAZ,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.36389,-98.98669,COORDENADA
ECA26072602603,2026-07-26,08:50:00,8,matutina (06-14),HUEHUETOCA,ECATEPEC,ROBO DE MOTOCICLETA CON VIOLENCIA,robo_violento,2.0,19.834712,-99.204711,COORDENADA
ECA26072602654,2026-07-26,08:57:00,8,matutina (06-14),TULTITLAN,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.59788,-99.165125,COORDENADA
ECA26072602668,2026-07-26,08:59:00,8,matutina (06-14),SAN MARTIN DE LAS PIRAMIDES,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.70943,-98.84097,COORDENADA
ECA26072602670,2026-07-26,09:00:00,9,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.686065,-99.233495,COORDENADA
ECA26072602694,2026-07-26,09:05:00,9,matutina (06-14),TLALNEPANTLA,METROPOLITANA,PERSONA NO LOCALIZADA O DESAPARECIDA,desaparicion,3.0,19.537615,-99.11883,COORDENADA
ECA26072602710,2026-07-26,09:09:00,9,matutina (06-14),COCOTITLAN,CHALCO,PERSONA AGRESIVA,rina,1.5,19.22269,-98.849411,COORDENADA
ECA26072602712,2026-07-26,09:09:00,9,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.608385,-99.283165,COORDENADA
ECA26072602721,2026-07-26,09:11:00,9,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.43801,-98.949865,COORDENADA
ECA26072602745,2026-07-26,09:16:00,9,matutina (06-14),TULTITLAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.665215,-99.094465,COORDENADA
ECA26072602783,2026-07-26,09:24:00,9,matutina (06-14),TULTEPEC,ECATEPEC,RIÑA,rina,1.5,19.677615,-99.129595,COORDENADA
ECA26072602805,2026-07-26,09:28:00,9,matutina (06-14),MELCHOR OCAMPO,SIN CATALOGAR,RIÑA,rina,1.5,19.718188,-99.135899,COORDENADA
ECA26072602839,2026-07-26,09:34:00,9,matutina (06-14),VALLE DE CHALCO,CHALCO,PERSONA AGRESIVA,rina,1.5,19.294035,-98.94555,COORDENADA
ECA26072602863,2026-07-26,09:39:00,9,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,letal,5.0,19.65523,-99.21083,COORDENADA
ECA26072602890,2026-07-26,09:45:00,9,matutina (06-14),LA PAZ,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.365475,-98.97206,COORDENADA
ECA26072602925,2026-07-26,09:51:00,9,matutina (06-14),TEXCOCO,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.51488,-98.903495,COORDENADA
ECA26072602926,2026-07-26,09:51:00,9,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.432825,-99.039025,COORDENADA
ECA26072602935,2026-07-26,09:53:00,9,matutina (06-14),ZUMPANGO,ECATEPEC,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,letal,5.0,19.79688,-99.10321,COORDENADA
ECA26072602959,2026-07-26,09:57:00,9,matutina (06-14),TEOLOYUCAN,SIN CATALOGAR,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.75169,-99.168705,COORDENADA
ECA26072603004,2026-07-26,10:04:00,10,matutina (06-14),CHICOLOAPAN,SIN CATALOGAR,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.4163,-98.91567,COORDENADA
ECA26072603196,2026-07-26,10:26:00,10,matutina (06-14),ECATEPEC,ECATEPEC,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.521875,-99.02171,COORDENADA
ECA26072603197,2026-07-26,10:26:00,10,matutina (06-14),TECAMAC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.684725,-98.96959,COORDENADA
ECA26072603199,2026-07-26,10:26:00,10,matutina (06-14),CHICOLOAPAN,SIN CATALOGAR,PERSONA AGRESIVA,rina,1.5,19.420455,-98.909885,COORDENADA
ECA26072603208,2026-07-26,10:27:00,10,matutina (06-14),HUEHUETOCA,ECATEPEC,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,19.834712,-99.204711,COORDENADA
ECA26072603234,2026-07-26,10:30:00,10,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.61667,-99.28762,COORDENADA
ECA26072603243,2026-07-26,10:30:00,10,matutina (06-14),IXTAPALUCA,CHALCO,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.298615,-98.913395,COORDENADA
ECA26072603244,2026-07-26,10:31:00,10,matutina (06-14),ECATEPEC,ECATEPEC,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.49931,-99.04712,COORDENADA
ECA26072603250,2026-07-26,10:31:00,10,matutina (06-14),TLALNEPANTLA,METROPOLITANA,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,,,ALTA
ECA26072603259,2026-07-26,10:32:00,10,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.555155,-99.02819,COORDENADA
ECA26072603262,2026-07-26,10:32:00,10,matutina (06-14),ECATEPEC,ECATEPEC,VIOLENCIA DE PAREJA,violencia_genero,2.0,19.57291,-99.02249,COORDENADA
ECA26072603287,2026-07-26,10:34:00,10,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.42058,-98.96104,COORDENADA
ECA26072603301,2026-07-26,10:36:00,10,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.442685,-98.97611,COORDENADA
ECA26072603303,2026-07-26,10:36:00,10,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.62887,-99.23778,COORDENADA
ECA26072603327,2026-07-26,10:39:00,10,matutina (06-14),HUEHUETOCA,ECATEPEC,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.834712,-99.204711,COORDENADA
ECA26072603329,2026-07-26,10:39:00,10,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.37595,-99.00615,COORDENADA
ECA26072603424,2026-07-26,10:49:00,10,matutina (06-14),IXTAPALUCA,CHALCO,ALTERACION DEL ORDEN PUBLICO POR PERSONA DROGADA,rina,1.5,19.29367,-98.83773,COORDENADA
ECA26072603470,2026-07-26,10:55:00,10,matutina (06-14),OTUMBA,ORIENTE,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.662273,-98.773401,COORDENADA
ECA26072603483,2026-07-26,10:56:00,10,matutina (06-14),ECATEPEC,ECATEPEC,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.57291,-99.02249,COORDENADA
ECA26072603491,2026-07-26,10:58:00,10,matutina (06-14),ATIZAPAN,METROPOLITANA,PERSONA AGRESIVA,rina,1.5,19.56481,-99.256495,COORDENADA
ECA26072603502,2026-07-26,10:59:00,10,matutina (06-14),ATIZAPAN,METROPOLITANA,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.574335,-99.26243,COORDENADA
ECA26072603507,2026-07-26,10:59:00,10,matutina (06-14),TEMAMATLA,SIN CATALOGAR,HOMICIDIO,letal,10.0,19.22201,-98.914705,COORDENADA
ECA26072603525,2026-07-26,11:02:00,11,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.46212,-99.04238,COORDENADA
ECA26072603540,2026-07-26,11:03:00,11,matutina (06-14),IXTAPALUCA,CHALCO,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.319995,-98.910505,COORDENADA
ECA26072603583,2026-07-26,11:08:00,11,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.41155,-98.92691,COORDENADA
ECA26072603585,2026-07-26,11:08:00,11,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.55939,-99.03604,COORDENADA
ECA26072603605,2026-07-26,11:11:00,11,matutina (06-14),ECATEPEC,ECATEPEC,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.61826,-99.01038,COORDENADA
ECA26072603636,2026-07-26,11:14:00,11,matutina (06-14),APAXCO,ECATEPEC,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.974293,-99.169744,COORDENADA
ECA26072603640,2026-07-26,11:14:00,11,matutina (06-14),CHICONCUAC,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.558075,-98.893715,COORDENADA
ECA26072603641,2026-07-26,11:14:00,11,matutina (06-14),ECATEPEC,ECATEPEC,PORTACION DE ARMA BLANCA,arma_blanca,2.0,19.57816,-99.06912,COORDENADA
ECA26072603683,2026-07-26,11:19:00,11,matutina (06-14),ATIZAPAN,METROPOLITANA,TENTATIVA DE SUICIDIO,deceso_dudoso,3.0,19.59712,-99.26954,COORDENADA
ECA26072603692,2026-07-26,11:20:00,11,matutina (06-14),NICOLAS ROMERO,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.60896,-99.29006,COORDENADA
ECA26072603780,2026-07-26,11:28:00,11,matutina (06-14),VALLE DE CHALCO,CHALCO,PERSONA AGRESIVA,rina,1.5,19.294035,-98.94555,COORDENADA
ECA26072603782,2026-07-26,11:28:00,11,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.529175,-99.045595,COORDENADA
ECA26072603800,2026-07-26,11:29:00,11,matutina (06-14),VALLE DE CHALCO,CHALCO,PORTACION DE ARMAS DE FUEGO O CARTUCHOS,arma_fuego,3.0,19.294035,-98.94555,COORDENADA
ECA26072603845,2026-07-26,11:34:00,11,matutina (06-14),VALLE DE CHALCO,CHALCO,PERSONA AGRESIVA,rina,1.5,19.29072,-98.92858,COORDENADA
ECA26072603886,2026-07-26,11:40:00,11,matutina (06-14),TECAMAC,ECATEPEC,ALTERACION DEL ORDEN PUBLICO POR PERSONA DROGADA,rina,1.5,19.622015,-99.040695,COORDENADA
ECA26072603902,2026-07-26,11:42:00,11,matutina (06-14),CHIMALHUACAN,ORIENTE,PERSONA AGRESIVA,rina,1.5,19.415065,-98.97565,COORDENADA
ECA26072603920,2026-07-26,11:44:00,11,matutina (06-14),ATIZAPAN,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.60655,-99.260085,COORDENADA
ECA26072603924,2026-07-26,11:45:00,11,matutina (06-14),CUAUTITLAN,METROPOLITANA,RIÑA,rina,1.5,19.66832,-99.15362,COORDENADA
ECA26072603966,2026-07-26,11:49:00,11,matutina (06-14),TECAMAC,ECATEPEC,ALTERACION DEL ORDEN PUBLICO POR PERSONA DROGADA,rina,1.5,19.677495,-99.030985,COORDENADA
ECA26072603984,2026-07-26,11:52:00,11,matutina (06-14),CHIMALHUACAN,ORIENTE,ROBO A NEGOCIO CON VIOLENCIA,robo_violento,2.0,,,ALTA
ECA26072604003,2026-07-26,11:53:00,11,matutina (06-14),TEPETLIXPA,CHALCO,PERSONA AGRESIVA,rina,1.5,19.028318,-98.817753,COORDENADA
ECA26072604020,2026-07-26,11:54:00,11,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.5652,-99.06151,COORDENADA
ECA26072604043,2026-07-26,11:56:00,11,matutina (06-14),ZUMPANGO,ECATEPEC,PERSONA TIRADA EN LA VIA PUBLICA CON HUELLAS DE VIOLENCIA,letal,5.0,19.800565,-99.105165,COORDENADA
ECA26072604047,2026-07-26,11:57:00,11,matutina (06-14),VALLE DE CHALCO,CHALCO,PERSONA AGRESIVA,rina,1.5,19.31673,-98.943625,COORDENADA
ECA26072604072,2026-07-26,11:59:00,11,matutina (06-14),LA PAZ,ORIENTE,PERSONA LESIONADA POR PROYECTIL DE ARMA DE FUEGO,arma_fuego,6.0,19.371455,-98.96885,COORDENADA
ECA26072604102,2026-07-26,12:02:00,12,matutina (06-14),IXTAPALUCA,CHALCO,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.31119,-98.875765,COORDENADA
ECA26072604104,2026-07-26,12:03:00,12,matutina (06-14),VALLE DE CHALCO,CHALCO,DETONACION POR ARMA DE FUEGO,arma_fuego,4.0,19.32026,-98.95065,COORDENADA
ECA26072604107,2026-07-26,12:03:00,12,matutina (06-14),TULTITLAN,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.614715,-99.138205,COORDENADA
ECA26072604142,2026-07-26,12:07:00,12,matutina (06-14),NEZAHUALCOYOTL,ORIENTE,ALTERACION DEL ORDEN PUBLICO POR PERSONA ALCOHOLIZADA,rina,1.5,19.46166,-99.04027,COORDENADA
ECA26072604148,2026-07-26,12:08:00,12,matutina (06-14),TLALNEPANTLA,METROPOLITANA,VIOLENCIA FAMILIAR,violencia_genero,2.0,19.51151,-99.17474,COORDENADA
ECA26072604169,2026-07-26,12:10:00,12,matutina (06-14),ECATEPEC,ECATEPEC,PERSONA AGRESIVA,rina,1.5,19.521875,-99.02171,COORDENADA
ECA26072604181,2026-07-26,12:12:00,12,matutina (06-14),CUAUTITLAN IZCALLI,METROPOLITANA,PERSONA TIRADA EN VIA PUBLICA,deceso_dudoso,3.0,19.67183,-99.221635,COORDENADA
ECA26072604194,2026-07-26,12:12:00,12,matutina (06-14),ECATEPEC,ECATEPEC,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.52735,-99.0644,COORDENADA
ECA26072604213,2026-07-26,12:14:00,12,matutina (06-14),ATIZAPAN,METROPOLITANA,VIOLENCIA CONTRA LAS MUJERES,violencia_genero,2.0,19.587765,-99.23163,COORDENADA
